date,min,max,median,q1,q3,stdev,count
2022-03-02T00:00:00.000Z,0.7,2.5,1.2,1,1.5,0.336,285
2022-03-03T00:00:00.000Z,0.6,5.57,1.1,1,1.3,0.332,547
2022-03-04T00:00:00.000Z,0.7,49.9,1.5,1.2,1.8,2.676,561
2022-03-05T00:00:00.000Z,1,81.73,2.27,1.67,3.2,5.681,579
2022-03-06T00:00:00.000Z,0.5,8.73,1.27,0.9,1.5,0.852,547
2022-03-07T00:00:00.000Z,0.5,21.63,1,0.8,1.6,1.452,578
2022-03-08T00:00:00.000Z,1.1,22.67,2.7,1.9,5.73,2.412,471
2022-03-09T00:00:00.000Z,1.17,16.2,2.6,1.9,3.87,1.396,428
2022-03-10T00:00:00.000Z,1.1,16.63,4.44,2.43,6.2,2.341,560
2022-03-11T00:00:00.000Z,3.13,86.8,5.09,4.2,7.93,6.074,566
2022-03-12T00:00:00.000Z,2.87,17.23,4.2,3.67,4.8,0.943,559
2022-03-13T00:00:00.000Z,2.83,20.39,3.73,3.4,4.09,1.248,551
2022-03-14T00:00:00.000Z,3.7,30.57,7.93,4.87,10.13,4.089,543
2022-03-15T00:00:00.000Z,11.23,36.5,23.13,18.47,26.79,5.506,561
2022-03-16T00:00:00.000Z,15.9,37.22,24.85,21.57,27.95,4.635,572
2022-03-17T00:00:00.000Z,14.9,74,32.53,27.32,39.86,13.019,569
2022-03-18T00:00:00.000Z,0.93,80.56,3.04,1.9,6.53,16.146,542
2022-03-19T00:00:00.000Z,0.6,17.89,1.73,1.2,2.67,1.525,556
2022-03-20T00:00:00.000Z,1,18.27,1.67,1.48,1.87,0.865,552
2022-03-21T00:00:00.000Z,1.57,30.8,7.93,5.7,9.93,3.904,534
2022-03-22T00:00:00.000Z,7.43,79.27,16.57,9.02,22.57,7.479,568
2022-03-23T00:00:00.000Z,3.8,17,6.67,5.3,9.9,2.927,558
2022-03-24T00:00:00.000Z,4.26,25.42,7.53,6,9.9,2.374,552
2022-03-25T00:00:00.000Z,0.5,21.07,7.3,1.7,13.82,6.113,544
2022-03-26T00:00:00.000Z,0.67,2.33,1.12,1,1.33,0.27,565
2022-03-27T00:00:00.000Z,0.73,58.23,1.4,1.23,1.6,2.797,562
2022-03-28T00:00:00.000Z,0.4,6.33,1.47,0.9,3.62,1.771,565
2022-03-29T00:00:00.000Z,0.6,8.67,1.07,0.8,1.57,0.647,548
2022-03-30T00:00:00.000Z,0.6,2,1,0.82,1.2,0.252,561
2022-03-31T00:00:00.000Z,0.6,154.63,1.1,0.9,1.4,8.793,572
2022-04-01T00:00:00.000Z,0.7,31.27,1.5,1.2,1.8,2.135,539
2022-04-02T00:00:00.000Z,0.7,54.77,1.3,1,1.67,2.453,518
2022-04-03T00:00:00.000Z,0.47,25.43,0.9,0.8,1.2,1.21,564
2022-04-04T00:00:00.000Z,0.5,22.2,0.97,0.7,2.45,1.596,524
2022-04-05T00:00:00.000Z,0.5,25.8,0.87,0.72,1,1.709,536
2022-04-06T00:00:00.000Z,0.4,16.39,0.95,0.67,1.2,0.949,572
2022-04-07T00:00:00.000Z,0.6,15.6,1.23,1.05,1.45,0.892,576
2022-04-08T00:00:00.000Z,0.6,40.77,1.3,1.2,1.5,2.831,505
2022-04-09T00:00:00.000Z,0.5,19.39,1.1,0.8,1.3,1.05,559
2022-04-10T00:00:00.000Z,0.4,2.2,0.77,0.6,0.9,0.216,569
2022-04-11T00:00:00.000Z,0.67,52.07,1,0.9,1.2,4.232,563
2022-04-12T00:00:00.000Z,0.53,55.93,1.2,0.82,1.5,3.675,576
2022-04-13T00:00:00.000Z,0.9,5.2,1.7,1.5,2.13,0.768,570
2022-04-14T00:00:00.000Z,1.9,37.9,3.2,2.67,4.09,1.858,566
2022-04-15T00:00:00.000Z,0.5,7.73,1.1,0.7,1.9,1.54,574
2022-04-16T00:00:00.000Z,0.73,45.67,1.2,1,1.57,2.365,578
