date,min,max,median,q1,q3,stdev,count
2025-07-04T00:00:00.000Z,1.8,3.63,2.46,2.02,2.92,0.488,18
2025-07-05T00:00:00.000Z,1.18,4.66,2.81,1.99,3.69,1.069,24
2025-07-06T00:00:00.000Z,2,4.05,3.31,2.66,3.69,0.632,24
2025-07-07T00:00:00.000Z,1.68,3.72,3.28,2.31,3.45,0.663,24
2025-07-08T00:00:00.000Z,1.83,4.69,2.43,2.19,3.02,0.786,24
2025-07-09T00:00:00.000Z,2.35,5.96,4.41,3.58,5.12,0.957,24
2025-07-10T00:00:00.000Z,3.3,5.58,4.5,3.8,4.98,0.714,24
2025-07-11T00:00:00.000Z,5.03,7.86,5.92,5.32,6.4,0.73,24
2025-07-12T00:00:00.000Z,7.54,10.45,8.63,8.21,9.38,0.857,24
2025-07-13T00:00:00.000Z,5.55,11.84,10.21,7.31,10.98,1.976,24
2025-07-14T00:00:00.000Z,5.23,13.14,8.9,7.3,11.48,2.476,24
2025-07-15T00:00:00.000Z,9.02,13.28,10.32,9.68,11.23,1.109,24
2025-07-16T00:00:00.000Z,5.73,16.75,9.59,8.25,12.71,3.284,24
2025-07-17T00:00:00.000Z,4.09,8.02,5.47,5.18,6.55,1.046,24
2025-07-18T00:00:00.000Z,4.36,11.32,6.76,5.48,7.58,1.869,24
2025-07-19T00:00:00.000Z,7.74,14.95,11.54,8.81,12.99,2.275,24
2025-07-20T00:00:00.000Z,7.69,16.98,12.96,8.59,14.31,3.136,24
2025-07-21T00:00:00.000Z,8.47,13.23,9.89,9.64,10.51,1.087,24
2025-07-22T00:00:00.000Z,6.42,13.88,11.15,9.34,12.59,2.115,24
2025-07-23T00:00:00.000Z,8.83,16.64,10.51,9.56,11.21,2.133,24
2025-07-24T00:00:00.000Z,5.88,16.79,12.26,8.43,14.91,3.516,24
2025-07-25T00:00:00.000Z,5.59,8.32,7.02,6.2,7.84,0.886,24
2025-07-26T00:00:00.000Z,6.67,12.49,9.9,8.28,11.22,1.814,24
2025-07-27T00:00:00.000Z,2.93,8.68,4.76,3.79,6.88,1.837,24
2025-07-28T00:00:00.000Z,3.56,7.11,4.04,3.74,4.59,0.986,24
2025-07-29T00:00:00.000Z,1.2,6.78,2.79,1.76,5.35,1.782,24
2025-07-30T00:00:00.000Z,3.16,7.61,5.99,5.48,7.15,1.135,24
2025-07-31T00:00:00.000Z,2.18,7.17,5.58,4.97,6.53,1.325,24
2025-08-01T00:00:00.000Z,5.55,7.63,6.42,5.9,6.94,0.642,24
2025-08-02T00:00:00.000Z,3.43,7.18,5.01,4.7,5.28,0.717,24
2025-08-03T00:00:00.000Z,3.43,5.58,4.55,4.3,4.83,0.518,24
2025-08-04T00:00:00.000Z,1.66,5.18,2.59,1.96,4.11,1.184,24
2025-08-05T00:00:00.000Z,1.57,8.11,4.37,3.1,6.5,2.091,24
2025-08-06T00:00:00.000Z,3.59,8.4,5.16,4.54,6.29,1.357,24
2025-08-07T00:00:00.000Z,3.2,7.56,6.31,5.61,6.83,1.032,24
2025-08-08T00:00:00.000Z,4.66,9.82,7.91,7.3,8.39,1.258,24
2025-08-09T00:00:00.000Z,4.55,9.14,5.4,5.16,5.98,0.905,24
2025-08-10T00:00:00.000Z,1.59,7.43,3.49,2.19,4.51,1.725,24
2025-08-11T00:00:00.000Z,2.5,6.53,3.37,2.71,4.94,1.239,18
2025-08-12T00:00:00.000Z,2.78,7.37,3.57,2.91,4.87,1.308,24
2025-08-13T00:00:00.000Z,3.43,7.23,4.51,3.97,5.34,0.966,24
2025-08-14T00:00:00.000Z,3.07,7.64,5.64,4.47,6.31,1.348,24
2025-08-15T00:00:00.000Z,2.13,16.32,10.08,6.36,13.31,4.106,24
2025-08-16T00:00:00.000Z,0.6,2.6,0.98,0.68,1.67,0.629,24
2025-08-17T00:00:00.000Z,0.93,3.79,1.58,1.36,1.77,0.678,24
2025-08-18T00:00:00.000Z,2.04,4.96,2.5,2.29,3.16,0.716,24
2025-08-19T00:00:00.000Z,0.85,4.34,2.17,1.32,3.81,1.205,24
2025-08-20T00:00:00.000Z,0.68,2.81,1.52,1.17,1.77,0.564,22
2025-08-21T00:00:00.000Z,1.04,3.99,1.84,1.25,2.36,0.694,24
2025-08-22T00:00:00.000Z,0.77,2.49,1.38,1.02,1.65,0.469,24
2025-08-23T00:00:00.000Z,0.52,1.7,0.89,0.74,1.17,0.35,24
2025-08-24T00:00:00.000Z,0.9,16.64,1.15,0.98,3.82,4.927,24
2025-08-25T00:00:00.000Z,0.36,2.96,1.28,0.96,1.94,0.714,24
2025-08-26T00:00:00.000Z,0.97,3.89,1.31,1.14,1.59,0.92,24
2025-08-27T00:00:00.000Z,2.27,6.27,3.39,2.81,4.15,0.951,24
2025-08-28T00:00:00.000Z,2.63,7.34,4.79,3.93,5.62,1.309,24
2025-08-29T00:00:00.000Z,3.67,12.43,7.82,6.78,9.55,2.095,24
2025-08-30T00:00:00.000Z,3.18,6.15,5.23,4.4,5.89,0.833,24
2025-08-31T00:00:00.000Z,5.94,8.64,6.65,6.36,7.49,0.751,24
2025-09-01T00:00:00.000Z,5.55,10.75,6.95,6.23,7.67,1.321,24
2025-09-02T00:00:00.000Z,5.75,9.76,6.98,6.27,7.6,1.045,24
2025-09-03T00:00:00.000Z,2.95,7.03,4.13,3.66,4.72,1.137,24
2025-09-04T00:00:00.000Z,3.46,6,4.58,3.9,5.56,0.816,24
2025-09-05T00:00:00.000Z,2.58,8.63,5.52,4.17,6.25,1.599,24
2025-09-06T00:00:00.000Z,3.11,7.54,4.94,4.3,5.47,0.922,24
2025-09-07T00:00:00.000Z,3.4,7.33,4.78,4.38,5.32,0.933,24
2025-09-08T00:00:00.000Z,4.18,15.16,6.94,5.78,12.81,3.774,24
2025-09-09T00:00:00.000Z,6.91,17.41,12,10.84,12.96,2.604,24
2025-09-10T00:00:00.000Z,7.16,12.86,11.22,9.84,12.01,1.486,24
2025-09-11T00:00:00.000Z,1.74,14.6,8.03,5.23,11.87,4.104,24
2025-09-12T00:00:00.000Z,2.83,6.1,4.47,3.21,5.65,1.166,23
2025-09-13T00:00:00.000Z,2.34,3.4,2.73,2.5,3.04,0.302,24
2025-09-14T00:00:00.000Z,1.69,4.84,3.45,2.34,4.09,0.977,24
2025-09-15T00:00:00.000Z,1.7,4.15,2.5,2.16,2.95,0.564,24
2025-09-16T00:00:00.000Z,1.07,3.47,2.74,1.74,3.08,0.732,24
2025-09-17T00:00:00.000Z,1.45,4.67,2.02,1.77,3.32,1.062,24
2025-09-18T00:00:00.000Z,1.2,7.25,5.37,3.55,6.99,1.92,24
2025-09-19T00:00:00.000Z,2.2,8.11,5.65,4.72,6.86,1.557,24
2025-09-20T00:00:00.000Z,3.17,8.35,4.16,3.92,6.4,1.554,24
2025-09-21T00:00:00.000Z,0.98,7.71,6.25,2.16,6.78,2.436,24
2025-09-22T00:00:00.000Z,0.76,1.62,1.05,0.89,1.4,0.279,17
2025-09-23T00:00:00.000Z,0.82,1.92,1.3,1.1,1.57,0.321,24
2025-09-24T00:00:00.000Z,0.74,3.04,1.71,1.18,2.52,0.74,24
2025-09-25T00:00:00.000Z,1.45,4.79,2.57,2,3.64,1.042,22
2025-09-26T00:00:00.000Z,1.31,8.96,3.34,2.2,4.91,2.049,24
2025-09-27T00:00:00.000Z,1.74,8.66,3.19,2.2,4.7,2.039,24
2025-09-28T00:00:00.000Z,2.02,5.98,2.79,2.42,3.96,1.016,24
2025-09-29T00:00:00.000Z,1.86,4.01,2.58,2.15,3.17,0.641,16
2025-09-30T00:00:00.000Z,1.91,5.78,2.6,2.08,3.13,0.991,24
2025-10-01T00:00:00.000Z,2.37,7.22,3.46,2.7,5.98,1.714,24
2025-10-02T00:00:00.000Z,4.16,9.22,4.87,4.58,5.91,1.28,24
2025-10-03T00:00:00.000Z,3.03,11.05,4.42,3.74,5.83,2.079,24
2025-10-04T00:00:00.000Z,1.74,7.2,3.48,3.03,5.09,1.554,24
2025-10-05T00:00:00.000Z,1.33,2.59,1.98,1.7,2.37,0.408,24
2025-10-06T00:00:00.000Z,1.55,4.55,3.28,2.04,3.73,0.871,24
2025-10-07T00:00:00.000Z,0.89,4.4,2.68,1.97,3.22,0.889,24
2025-10-08T00:00:00.000Z,1.68,6.58,2.98,2.18,5.11,1.604,24
2025-10-09T00:00:00.000Z,1.28,5.15,3.47,2.58,4.2,1.024,24
2025-10-10T00:00:00.000Z,2.04,4.91,2.67,2.33,3.08,0.714,24
2025-10-11T00:00:00.000Z,1.03,2.69,1.77,1.57,2.04,0.364,24
2025-10-12T00:00:00.000Z,0.38,1.85,1.23,0.63,1.46,0.464,24
2025-10-13T00:00:00.000Z,0.41,3.29,1.35,0.96,2,0.72,24
2025-10-14T00:00:00.000Z,1.31,2.95,2.09,1.83,2.57,0.495,24
2025-10-15T00:00:00.000Z,1.48,5.85,2.71,2.04,3.68,1.218,24
2025-10-16T00:00:00.000Z,1.81,3.72,2.89,2.54,3.28,0.553,24
2025-10-17T00:00:00.000Z,1.03,5.85,1.84,1.42,2.83,1.136,23
2025-10-18T00:00:00.000Z,0.63,5.6,1.49,1.06,3.1,1.358,24
2025-10-19T00:00:00.000Z,1.31,5.71,2.49,1.85,2.95,1.179,24
2025-10-20T00:00:00.000Z,1.85,5.2,3.18,2.52,4.37,1.028,24
2025-10-21T00:00:00.000Z,5.12,17.18,10.3,9.23,11.48,2.921,24
2025-10-22T00:00:00.000Z,3.3,16.41,4.87,3.99,14.67,5.162,24
2025-10-23T00:00:00.000Z,4.26,15.02,6.43,5.51,7.12,2.509,24
2025-10-24T00:00:00.000Z,1.74,10.48,5.63,3.62,6.14,2.152,24
2025-10-25T00:00:00.000Z,2.17,5.67,3.74,2.67,4.49,1.002,22
2025-10-26T00:00:00.000Z,1.37,6.01,3.84,2.11,4.34,1.248,24
2025-10-27T00:00:00.000Z,1.3,5.04,1.99,1.56,3.39,1.097,24
2025-10-28T00:00:00.000Z,1.51,9.85,2.71,2.06,3.78,1.702,24
2025-10-29T00:00:00.000Z,2.18,6.24,3.54,2.77,4.04,1.125,24
2025-10-30T00:00:00.000Z,0.31,8.53,1.86,1,2.66,1.713,24
2025-10-31T00:00:00.000Z,0.21,4.36,0.96,0.28,1.9,1.02,24
2025-11-01T00:00:00.000Z,0.96,8.81,2.14,1.52,4.7,2.396,24
